source,text,label
trt,Cumhurbaşkanı Erdoğan: Tarihin doğru tarafında yer aldık,non-sarcastic
zaytung,"OHAL Devam Ederken Bir de Üstüne Sivillere Adam Öldürme Yetkisi İçin KHK Çıkartan AK Parti, Hala Türkiye'de Yatırım Yapmayı Düşünenler İçin İlave Tedbirler Almaya Hazırlanıyor...",sarcastic
zaytung,Fiyatı Bir Ayda 20 Katına Çıkan Sağlık Maskesinin Enflasyon Sepetinde Yer Aldığını Fark Eden TÜİK'te Panik Büyüyor...,sarcastic
zaytung,"İki Çocuğuyla Birlikte Tatile Çıkan Günek Ailesi, Kendilerininki de Dahil Yaklaşık 400 Kişinin Tatilini Burnundan Getirdikten Sonra Dönüş Hazırlığına Başladı...",sarcastic
zaytung,"Rahip Brunson Konusunda Bağımsız Karar Vermeleri Gerektiğini Bugün Öğrenen Mahkeme Heyeti, Duruşma Saatine Kadar Sabahlayarak Davanın Hukuki Boyutunu İnceleyecek...",sarcastic
trt,AK Parti Sözcüsü Çelik'ten CHP'ye tepki,non-sarcastic
trt,Cumhurbaşkanı Erdoğan'ın dörtlü liderler toplantısına katılması dünya basınında,non-sarcastic
trt,AK Parti'nin yeni MYK üyeleri belirlendi,non-sarcastic
trt,TBMM'de 2025'in ilk gündemi 'yeni anayasa',non-sarcastic
zaytung,3 Ocak İtibariyle Rejimi Bırakıp Sigaraya Geri Dönen Türkiye Üzerindeki Gerginliği Attı,sarcastic
trt,Altun: Gelecek nesillere daha temiz bir dünya bırakmak hepimizin ortak sorumluluğu,non-sarcastic
zaytung,"Binali Yıldırım: ''Kapatılan askeri okulları Paintball tesisine çevirmek suretiyle askeri eğitimi tüm halkımıza...""",sarcastic
trt,Hız ihlalleriyle ilgili yaklaşık 850 bin işlem yapıldı,non-sarcastic
trt,TBMM'de bu hafta hangi konular görüşülecek? İşte gündem başlıkları...,non-sarcastic
trt,Ömer Çelik: Teröristlerle herhangi bir pazarlık yoktur,non-sarcastic
zaytung,"Suudi Arabistan, Bir Halt Yedikten Sonra İmaj Toparlamak İçin Umre'ye Gelen Türk Ünlü Sayısına Kontenjan Sınırlaması Getiriyor...",sarcastic
zaytung,"Beşar Esad, Suruç'ta Yaşananların Ülkesine Sıçramasından Endişeli...",sarcastic
trt,Hindistan-Pakistan: İki nükleer güç karşı karşıya,non-sarcastic
trt,Kırmızı bültenle aranan terör örgütü DEAŞ şüphelisi yakalandı,non-sarcastic
trt,"Bakan Fidan, suikast girişimini ilk kez açıkladı: Arsenik ve cıva ile zehirlendim",non-sarcastic
zaytung,"Yeni Torba Yasa, AK Parti'de Sert Tartışmalara Neden Oldu: ''Mal mıyız biz hala kanun tartışıyoruz?''",sarcastic
trt,"Cumhurbaşkanı Erdoğan, Galatasaray'ı tebrik etti",non-sarcastic
trt,TBMM'de yeni haftada gündem yoğun,non-sarcastic
trt,Sahte belge soruşturmasında 73 şüpheli gözaltına alındı,non-sarcastic
zaytung,"Özel Okul Ücreti Yıllık 160.000 TL'ye Çıkan Efe Gülruz(7), Ailesi Tarafından 2. El İlan Sitesine Kondu: ''Satsak o kadar ediyor mu görmek istedik...''",sarcastic
trt,Doğum yardımı başvuruları başladı,non-sarcastic
zaytung,Tutuklayacak Muhalif Gazeteci Kalmamasının Ardından Az-Yandaş Yazarlar Tedirgin: ''Lan sıra bize gelmesin şimdi?'',sarcastic
zaytung,Yorum ve Paylaşımlarıyla Kitleleri Peşinden Sürükleyen Facebook Kullanıcısının Tatil Boyunca Yerini Dolduracak Yeni İsim Arayışları Sürüyor,sarcastic
zaytung,"Ailesi İle Bayram Ziyaretlerini Sürdüren Efe Küçükali(6), Şu Ana Dek 18 Çifti Çocuk Fikrinden Tiksindirmeyi Başardı...",sarcastic
trt,'Filistin'i Destekleyen Parlamentolar' Türkiye'de bir araya gelecek,non-sarcastic
zaytung,"Musul'da Rehin Tutulan Konsolosluk Görevlileri, Kendi Aralarından Cumhurbaşkanı Adayı Çıkararak Dikkat Çekmeye Çalışacak",sarcastic
zaytung,"Sağlık Bakanlığı Uyarıyor: ''Vaka sayıları bu hızla artarsa ne işe yaradığı belirsiz, kimsenin sallamayacağı yeni tedbirler almak zorunda kalabiliriz...''",sarcastic
trt,Ekrem İmamoğlu ve 90 şüpheli adliyede,non-sarcastic
zaytung,"Uzun Süre Sonra İlk Kez İyi Bir Haber Verme Şansı Bulan Hükümet, Fırsatı Kaçırmak İstemiyor: Kar Tatili Açıklamasını Valiler Yerine Sırayla Bakanlar Yapacak...",sarcastic
zaytung,Üç Günlük Kar Yağışının Ardından İstanbul'da Acı Bilanço: Kimse Nasıl Kardan Adam Yapılacağını Hatırlamıyor...,sarcastic
zaytung,"Rusya, Suriye, İran ve Irak'ın Ardından AB'yle de Arası Bozulan Türkiye'den Gürcistan'a Tarihi Çağrı: ''Haftasonu napıyosunuz abi?’’",sarcastic
zaytung,TBMM Kararıyla Büyükşehir Belediyesi Olan K.Maraş'ta İlk Büyük Şehire Yabancılaşma ve Yalnızlaşma Vakası Bu Sabah Yaşandı. Halk Sevinç İçinde...,sarcastic
trt,İzmir'de FETÖ operasyonu: 32 şüpheli yakalandı,non-sarcastic
trt,Cumhurbaşkanı Erdoğan: İlim Yayma Cemiyeti gönül hareketidir,non-sarcastic
zaytung,"Cumhurbaşkanı Erdoğan, Sürekli Kendisi İle Çelişmesinin Nedenini Açıkladı: ''Napayım, muhalefet işi de bana kaldı...''",sarcastic
trt,11 ilde DHKP-C Operasyonu: 30 gözaltı,non-sarcastic
zaytung,"Yıllardır Düşlediği 'Şirin Bir Kafe' Hayalini Gerçekleştiren Pelin Bulvar (33), Sonunda Patladı: ''Bir şey içmeyecekseniz kalkın arkadaşım...''",sarcastic
trt,NATO tarihinde ilk: Türk general güvenlik direktörü seçildi,non-sarcastic
zaytung,"Adalet Bakanlığı, Ekrem İmamoğlu'na Hapis Cezasıyla İlgili Olarak Topu Millet İttifakı'nı Attı: ''Kaç kere uyardık adayınızı açıklayın diye. İsim gelmeyince mecburen alfabetik sıradan...''",sarcastic
trt,Cumhurbaşkanı Erdoğan: Mescid-i Aksa bizim kırmızı çizgimizdir,non-sarcastic
trt,"Bakan Fidan, IKBY Başkanı Barzani ile görüştü",non-sarcastic
trt,İstanbul'da izinsiz gösterilere katılan 99 sanık hakim karşısına çıktı,non-sarcastic
trt,"Bakan Fidan, Hamas’ın Siyasi Büro Üyesi Hayye ile görüştü",non-sarcastic
trt,Türk bilim insanları 9'uncu kez Antarktika yolunda,non-sarcastic
trt,Üç aylar başladı: Regaip Kandili yarın idrak edilecek,non-sarcastic
trt,Bakan Tunç: Sokak çağrıları hukuk dışıdır ve asla kabul edilemez,non-sarcastic
zaytung,"Hükümet, Ekonomik Krize Karşı Acil Eylem Planını Açıkladı: ''İnşaatları Yenilebilir Malzemeden Yapacağız. Çok Mecbur Kalırsak...''",sarcastic
zaytung,AK Parti'nin Tek Başına İktidar Olamaması Halinde Mart'ta Tekrarlanacak Kasım Seçimleri İçin Düğmeye Basıldı,sarcastic
zaytung,Nijerya'dan Türkiye'ye Yatırım Hamlesi: ''Şimdi piramit ittifakı diye bi sistem var. Siz de altınıza 3 ülke buluyorsunuz...'',sarcastic
zaytung,"Alkol ve Akaryakıt'a Gelen Son Zamlara Suriyeli Mültecilerden Sert Tepki: ""Biz Gürcistan'a gidiyoruz!""",sarcastic
trt,Bahçeli'nin kalp kapakçığı değiştirildi,non-sarcastic
zaytung,"Sürtünme Yoluyla İlişkiye Girmeye Çalışan Çift, 10 Hektar Ormanlık Alanı Ateşe Verdi",sarcastic
zaytung,"Belediyeler Aracılığıyla Yurt Dışına İnsan Kaçırdığı Ortaya Çıkan AK Parti, Z Kuşağıyla Arasındaki Buzları Hızla Eritiyor...",sarcastic
zaytung,Merkez Bankası'ndan Piyasaları Rahatlatan Açıklama: ''Bitcoin'in ne olduğunu biz de tam anlamıyoruz...'',sarcastic
zaytung,Yeme-İçme Masraflarını da Faturalara Ekleyen Elektrik Dağıtım Şirketlerinden Vatandaşlara Büyük Kolaylık: ''Faturanın o kısmını ödeyemeyenler bulaşığa yardım edebilir...'',sarcastic
zaytung,"Sevgililer Günü Hediyeleri ''Oral-B Şarjlı Diş Fırçası'' Olgunluğuna Erişen 4 Yıllık Çift, Evlilik Yolunda Emin Adımlarla İlerliyor...",sarcastic
zaytung,Cumhurbaşkanı Erdoğan Başkanlığında Toplanan Ekonomi Zirvesinden Sürpriz Sonuç: ''İşte hep başkanlık olmadığından... Başkanlık olsa...'',sarcastic
zaytung,Tarihinde İlk Kez Elektrikli Otomobil Mühürleyen Bedaş’ta Gurur Günü,sarcastic
trt,Cumhurbaşkanı Erdoğan'dan Kut'ül Amare Zaferi mesajı,non-sarcastic
zaytung,Paralel Yapı ve PKK'nın Ardından Erdoğan Bir Kez Daha Kandırıldı: ''Bakınız bunlar kontör istemek suretiyle şahsımı...'',sarcastic
trt,"KDK devreye girdi, özel işletmenin kıyı işgali son buldu",non-sarcastic
zaytung,"AK Parti Yönetimi, Almanya'yı Kınaması İçin Muhalefet Temsilcilerinden Ricada Bulunacak: ""Biz ifade özgürlüğü falan diyince komik oluyor...""",sarcastic
trt,Avrupa Parlamentosu’nun Türkiye raporuna tepki,non-sarcastic
zaytung,"İçişleri Bakanlığı, Tatil Süresince İstanbul İçin Fazlalık Olduğu Tespit Edilen Yaklaşık 6 Milyon Kişiyi Afyon'un Sandıklı İlçesi'ne Yerleştirmeye Hazırlanıyor",sarcastic
zaytung,14 Şeker Fabrikasının Satışa Çıkarılmasıyla İlgili Rahatlatan Açıklama: ''Satış işlemleri tamamen yerli ve milli kağıtlarımızla yapılacak...'',sarcastic
trt,"EGM: Gözaltıyla ilgili iddialar asılsız, alçakça iftiralardır",non-sarcastic
trt,2025'te dört yeni şehir hastanesi devreye girecek,non-sarcastic
trt,"Bakan Fidan, Türkiye-Azerbaycan-Özbekistan Üçlü Toplantısı'na katılacak",non-sarcastic
trt,Eğitim faaliyeti sırasında kaza: 1 asker şehit,non-sarcastic
trt,"Interpol kırmızı bültenle arıyordu, Bodrum'da yakalandı",non-sarcastic
trt,TRT World Citizen Ödülleri sahiplerini buldu,non-sarcastic
zaytung,Yeni AB Uyum Yasası Yolda: Büyüğe Saygı Tamamen Bitiyor,sarcastic
trt,Emine Erdoğan: Anneliğin sınır tanımayan şefkatiyle bir araya geldik,non-sarcastic
trt,Kartalkaya'daki otel yangınına ilişkin gözaltına alınan 8 zanlı için tutuklama talebi,non-sarcastic
zaytung,"Venezuella'da Tüm TV Kanallarının İflas Etmesi Nedeniyle Gündemi Sadece A Haber'den Takip Etmeye Başlayan Halk, Ekonomik Gelişmelerden Memnun...",sarcastic
trt,"""Yenidoğan çetesi"" hesap veriyor",non-sarcastic
zaytung,"Türkiye, Battaniye Altında Çay İçip Bir Arkadaşın Şifresiyle İnternetten Dizi İzleyeceği Çılgın Bir Yılbaşı Gecesine Daha Hazır...",sarcastic
zaytung,"Cumhurbaşkanı Erdoğan'ın Talimatı Sonrası İtalya'nın Torino Kentindeki Yerleşkesinden Sökülen Milli Kredi Derecelendirme Kuruluşumuz ''Hürnot'', Türkiye'ye Doğru Yola Çıktı..",sarcastic
trt,Sağlık Bakanı Memişoğlu: Hedefimiz dumansız Türkiye,non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, Darülaceze sakinleriyle bir araya geldi",non-sarcastic
trt,Polonya Başbakanı Tusk Türkiye'ye geliyor,non-sarcastic
zaytung,"Sezonun İlk Turist Silkeleme Operasyonunu Bayramcılar Üzerinde Gerçekleştiren Turizm Esnafı, ''Bunlar hep kuru kalabalık'' Başlıklı Raporunu Yayınladı...",sarcastic
zaytung,"Hiçbir Ortak Noktası Olmayan Çift, Henüz İnkar Aşamasında: ''Ne güzel işte, birbirimizi tamamlıyoruz hem...''",sarcastic
zaytung,"Hafızasında Yeterince Gereksiz Ünlü Bilgisi Barındıran Mine Ezgit(30), Can Yaman'ın Kim Olduğunu Öğrenmemeye Kararlı...",sarcastic
trt,Türkiye ile İspanya'dan Jet Eğitim Uçağı Projesi'nde iş birliği,non-sarcastic
trt,"Cumhurbaşkanı Erdoğan, Kazakistan Cumhurbaşkanı Tokayev ile görüştü",non-sarcastic
zaytung,"On Binlerce Kişinin Hayatını Kaybettiği, Yüz Binlercesinin de Evsiz Kaldığı Deprem Felaketiyle Boğuşan Türkiye, En Büyük Derdi Haluk Levent ve Oğuzhan Uğur Olan AKP-MHP Camiasını Teselli Etmeye Çalışıyor: ''Allah başka dert vermesin...''",sarcastic
trt,AK Parti'de 8. Olağan Büyük Kongre pazar günü yapılacak,non-sarcastic
zaytung,"Demet Akalın'ın Eski Eşi Okan Kurt ile Birlikte Tatile Çıktığını Öğrenen İcra Memuru: ''Buyrun, yine kötü biz olduk...''",sarcastic
zaytung,Ekonomide Ürküten Tablo: Cumhurbaşkanlığı Yazlık Sarayı İçin Maldivler Yerine Salda'dan Kum Getiren Türkiye Zorda mı?,sarcastic
zaytung,"Milli Eğitim Bakanlığı, Öğretmen Açığı Konusundaki Sessizliğini Bozdu: ''Sesi güzel olanlar şarkı söylesin, fıkra bilenler fıkra anlatsın...''",sarcastic
trt,DMM'den 'vergi borcu' açıklaması,non-sarcastic
zaytung,TBMM'nin Feshedilmesi Halinde Milletvekili Odalarının Pansiyon Olarak Kiralanmasına Olanak Sağlayan Tasarı Meclis Gündeminde,sarcastic
zaytung,"Esad Ordusu, ÖSO ve IŞİD'den Türkiye'ye Ortak Çağrı: ''Beyler biraz Suriyeli göndersenize bize... Burada kalmadı''",sarcastic
zaytung,"Henüz Hiçbir Çalışanın Yurt Dışına Taşınmayı Başaramadığı Yazılım Firması, Piyasadaki En Boktan Personeli Bünyesinde Topladığından Şüphelenmeye Başlıyor...",sarcastic
trt,MİT 2024'te terör örgütlerine ağır darbe indirdi,non-sarcastic
trt,"İBB'ye yönelik ""yolsuzluk"" soruşturmasında İmamoğlu'nun tutuklandığı hakimlik kararına ulaşıldı",non-sarcastic
zaytung,Ankara’da Şüpheli Paket Alarmı! Hazine ve Maliye Bakanı Berat Albayrak’ın Dün Açıkladığı İvme Finansman Paketi Bu Sabah Kontrollü Bir Şekilde Fünye ile Patlatıldı...,sarcastic
trt,TBMM engellilerin bireylerin sorunlarını araştıracak.,non-sarcastic
trt,"İletişim Başkanı Fahrettin Altun: Türkiye oyuna gelmeyecek, sokağa teslim olmayacak",non-sarcastic
trt,Bakan Tunç: Bilirkişilik kurumunu güçlendirmeye devam edeceğiz,non-sarcastic
zaytung,"Like ve Comment'ler Üzerinden Hastaların Tedavi Masraflarını Gerçekten Karşıladığını Fark Eden Facebook, 300 Milyon Dolarlık Zarar Açıkladı",sarcastic
trt,"Emine Erdoğan, Pakistan'da 'Sıfır atık hareketi'ni anlattı",non-sarcastic
trt,İşgalci İsrail'in sömürü yöntemleri: Dürziler örneği,non-sarcastic
trt,Erdoğan'dan Papa Fransuva için taziye mesajı,non-sarcastic
trt,Cumhurbaşkanı Erdoğan'ın bayram mesajı İletişim Başkanlığı binasına yansıtıldı,non-sarcastic
zaytung,"Steve Jobs: ""Müşteri sadakati konusunda ipin ucunu kaçırmış olabiliriz...""",sarcastic
zaytung,"CURE-SHOT Mahlaslı Yazar ""Kara Kalem Edebiyatçılar Birliği""nden Çıkarıldı.",sarcastic
trt,İstanbul Havalimanı'nda 'üçlü pist operasyonu' 17 Nisan'da başlıyor,non-sarcastic
zaytung,Yeni Mezun İşsizlerin CV'lerine Sahte Referans Sağlayan Çete Çökertildi,sarcastic
zaytung,"Sanat, Spor ve Siyaset Dünyasının Tanınmış İsimleri Buluştu",sarcastic
trt,22 ilde DEAŞ'a yönelik operasyonlarda 43 kişi tutuklandı,non-sarcastic
trt,1 Mayıs'ta izinsiz gösteri yapan 409 şahıs gözaltına alındı,non-sarcastic
zaytung,"Katar Kültür Bakanlığı: ''Farklı isimler altında bize sürekli aynı holdingli, yalılı diziyi satıyorsunuz. Ayıp oluyor...''",sarcastic
trt,"Bolu'da otel yangını: Can kaybı 66'ya yükseldi, 51 yaralı var",non-sarcastic
trt,Mardin'de organize suç örgütüne operasyon: 11 tutuklama,non-sarcastic
zaytung,"Seferberlik İlan Eden THY Yönetimi, Toplam 1000 Saatin Üzerinde Uçuş Tecrübesi Olan Yolcularını Görev Başına Çağırıyor",sarcastic
zaytung,Yurtiçi Kargo'dan 20. Yılını Dolduran Müşterilerine ''Kapıya Teslimat'' Sürprizi...,sarcastic
trt,Cumhurbaşkanı Erdoğan: Son 23 yılda 5 bin 927 vakıf kültür varlığı restore edildi,non-sarcastic
trt,"Bakan Şimşek, G20 Maliye Bakanları ve Merkez Bankası Başkanları Toplantısı'na katılacak",non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Filistin halkına ikinci bir Nekbe yaşatmaya kimsenin gücü yetmez,non-sarcastic
trt,"Fidan, Güney Afrika'da çok sayıda ikili görüşme gerçekleştirdi",non-sarcastic
trt,Balıkesir'de patlamaya ilişkin 10 kişi gözaltında,non-sarcastic
trt,Altun: Mehmet Selim Kiraz adaletin simgesi olarak hatırlanmaya devam edecek,non-sarcastic
trt,Cevdet Yılmaz: İstihdamda çok yönlü politikalara devam edeceğiz,non-sarcastic
zaytung,"OECD, 30 Yıldır ""Gelişmekte Olan Ülkeler"" Kategorisinden Çıkamayan Ülkeleri ""Bu kadar Gelişebilen Ülkeler"" Kategorisine Almaya Hazırlanıyor",sarcastic
zaytung,"Başbakan Erdoğan'ın 3 Günlük Afrika Gezisi Nedeniyle Başıboş Kalan Türkiye, Seks, Uyuşturucu ve Alkol Batağında Debeleniyor",sarcastic
zaytung,"Korumalarıyla Birlikte Meteoroloji İşleri İstanbul Müdürlüğü'nü Ziyaret Eden Vali Vasip Şahin, İstediğini Aldı...",sarcastic
trt,Sağlık Bakanlığı: Hiçbir vatandaşımızın sağlığı pazarlık konusu yapılamaz,non-sarcastic
zaytung,Mehmetçik Vakfı'na Bağışlanan 7.000 Koyun Sabah İçtimasının Ardından Yapılan 8 Km Teçhizatlı Koşuda Telef Oldu,sarcastic
trt,Cumhurbaşkanı Erdoğan: Kırımlı kardeşlerimizin haklarını savunmaya devam edeceğiz,non-sarcastic
trt,Kartalkaya'daki otel yangınını araştırma komisyonunun üyeleri belirlendi,non-sarcastic
trt,KKTC'de başörtüsü nedeniyle okula alınmayan kızın annesi: Kızımın iradesi çok sağlam,non-sarcastic
zaytung,"Arkadaş Ortamındaki Muhabbetleri Filme Çeken Genç Yönetmen, Gişede Umduğunu Bulamadı",sarcastic
trt,İzmir'de PKK/KCK'ya operasyon: 5 gözaltı,non-sarcastic
trt,Sağlık hizmetlerinden usulsüz yararlananlara geçit yok,non-sarcastic
zaytung,İnternet Yasaklarına Karşı Girişilecek Protesto Eylemlerini Düzenleme Üst Kurulu İçin Düğmeye Basıldı,sarcastic
zaytung,SGK'nın Kanser Hastalarına Sahte İlaç Vermesiyle Rezalet Çıtasını Oldukça Yukarı Taşıyan AKP'de Erken Seçim Sesleri Yükseliyor: ''Zirvede bırakalım...'',sarcastic
zaytung,Mehmet Cahit Turhan'ın Yerine Ulaştırma Bakanlığı Görevine Getirilen Mehmet Cahit Turhan'ın Gençliği İddialı Konuştu: ''Aynı hataları tekrarlamayacağım...'',sarcastic
trt,"Bakan Güler, Suudi mevkidaşı bin Selman ile görüştü",non-sarcastic
trt,Cumhurbaşkanı Erdoğan: Tarımsal hasılada Avrupa'da lideriz,non-sarcastic
trt,Bakan Uraloğlu: İnadına millî ve yerli her ürünü destekliyoruz,non-sarcastic
trt,"DMM, Cumhurbaşkanı Erdoğan'a yönelik iddiaları yalanladı",non-sarcastic
trt,Düğün ve doğum çekimlerinde 'yetkin fotoğrafçı' dönemi başlıyor,non-sarcastic
zaytung,"Ekim Ayından İtibaren Günlük 39 TL İle Geçinmeye Başlayacak Olan Burak Sebiz(29), Kritik Karar Aşamasında: ''Konut kredisi çekerek mi icralık olsam otomobil kredisi çekerek mi?''",sarcastic
trt,Türkiye Varlık Fonu Yönetim Kurulu toplandı,non-sarcastic
zaytung,Personeli İçin İskandinav Ülkeleri Turu Düzenleyen Ancak Tepki Olmasın Diye Fotoğraf Paylaşmalarını Yasaklayan Diyanet İşleri: ''Bundan daha büyük bir imtihan olabilir mi?'',sarcastic
zaytung,"Yerli Turist İçin Uygun Fiyat Seçenekleri Sunan Alanya'daki 5 Yıldızlı Otel, Kaba İnşaatı Bitirecek Tatilcileri Bekliyor...",sarcastic
trt,İBB'deki yolsuzluk soruşturmasında itirafçı Yıldız ve ailesini tehdit iddiasına soruşturma,non-sarcastic
trt,AFAD: Bir can kaybı ve yıkım ihbarı bulunmamaktadır,non-sarcastic
trt,90 Filistinli esir serbest bırakıldı,non-sarcastic
trt,14 terörist etkisiz hale getirildi,non-sarcastic
zaytung,IŞİD Yönetiminden İstanbul'da Sergi Basan Elemanlarına Sert Tepki: ''Lan Rakka düştü burada siz hala...'',sarcastic
zaytung,"Kültür Bakanlığı, Cumhurbaşkanı Erdoğan’ı Anlatan Filmler İçin ‘Çek-İzlet-Devret’ Modelini Hayata Geçirmeye Hazırlanıyor",sarcastic
trt,Ukrayna'da ABD'nin yerini Avrupa mı alıyor?,non-sarcastic
zaytung,Adalet Bakanlığı'ndan Basın Özgürlüğü Hamlesi: Muhalif Gazeteciler Hangi Terör Örgütünden Yargılanacaklarına Kendileri Karar Verebilecekler...,sarcastic
trt,Fahrettin Altun: Terörsüz Türkiye sürecinde önemli bir aşamaya gelindi,non-sarcastic
zaytung,Orta ve Yüksek Öğretimin Ardından AK Parti'de Yeni Hedef Youtube'daki Makyaj Videocuları: ''Bi şey öğretmiyorsunuz di mi lan millete?'',sarcastic
zaytung,Shameless Ekibinden Sert Uyarı: ''En son My Name is Earl'i böyle uyarlayanların başına gelenler herkese ders olmalı...'',sarcastic
zaytung,E-Devlet Portalı'nda ''Premium Üyelik'' Dönemi Başlıyor. Aylık Sadece 15 TL'ye Sınırsız Avantajlar...,sarcastic
zaytung,"Döviz Rezervlerinin Tükenmesinin Ardından Altın Rezervleri de Hızla Eriyen Merkez Bankası, Dolar'ı Bir Şekilde Seçime Kadar Tutmaya Kararlı: ''Sahibinden temiz kullanılmış ofis malzemeleri...''",sarcastic
zaytung,"Şampiyonun Erken Belli Olması Halinde Gündeme Gelme İhtimali Olan Kilis, Bu Akşamki Başakşehir-Fenerbahçe Maçına Kilitlendi",sarcastic
zaytung,40. Avrasya Maratonu İle Birlikte Yine Aynı Sorular Gündemde: ''Kim bu insanlar? Kış günü sabah 9'da köprüde koşacak enerjiyi nereden buluyorlar?'',sarcastic
trt,Cumnhurbaşkanı Erdoğan: Ukrayna'nın toprak bütünlüğüne güçlü desteğimizi sürdürüyoruz,non-sarcastic
trt,Cumhurbaşkanı Erdoğan'dan Güney Kore için taziye mesajı,non-sarcastic
zaytung,Doğar Doğmaz Facebook Hesabı Açılan Talihsiz Bebek Acı Konuştu,sarcastic
zaytung,Hükümeti Eleştirmek İsteyenlere 50 TL Karşılığında Online Üyelik İmkanı veren ''Çıkar da Gel Partisi'' Siyasi Hayata Merhaba Dedi,sarcastic
zaytung,Şehitlerle İlgili Kullandığı İfadeleri Tepki Çeken Ünlü Modacı Nur Yerlitaş: ''Linç de edilsem Erdoğan’ın yanındayım…'',sarcastic
trt,Bakan Yerlikaya'dan yasa dışı eylemlere karşı görev yapan güvenlik güçlerine tebrik,non-sarcastic
